panel	arm	macro_point_operational	macro_interval_operational	eligible_pairs	failed_point_pairs	failed_range_pairs	resolved_interval_pairs	resolved_accuracy_pooled	fixed_target_count
primary	magnitude_g0.50	0.4984793769552305	0.49846762220631197	46447	0	0	6443	0.4887474778829738	52
primary	magnitude_g0.80	0.4990878509876441	0.49919362021841324	46447	0	0	5781	0.4928213111918353	52
primary	magnitude_g1.00	0.4999197078023236	0.4999197078023236	46447	0	0	5347	0.4995324481017393	52
primary	magnitude_g1.25	0.5015149194249612	0.5015149194249612	46447	0	0	4246	0.5160150730098917	52
primary	magnitude_g2.00	0.5018283128999931	0.5019429194064665	46447	0	0	4680	0.5213675213675214	52
primary	ordinal	0.5035806803291387	0.5035806803291387	46447	0	0	5477	0.5300346905240095	52
primary	uniform_pfba	0.5	0.5	46447	0	0	0		52
broader_chemistry	magnitude_g0.50	0.4990863030044236	0.49907980037736227	70553	0	0	7071	0.4911610804695234	94
broader_chemistry	magnitude_g0.80	0.49962413537225436	0.49968264601055223	70553	0	0	6248	0.49487836107554417	94
broader_chemistry	magnitude_g1.00	0.49946240702272415	0.49946240702272415	70553	0	0	5815	0.49750644883920897	94
broader_chemistry	magnitude_g1.25	0.5005552816719877	0.5005552816719877	70553	0	0	4584	0.5126527050610821	94
broader_chemistry	magnitude_g2.00	0.5007908570583252	0.5008542564023317	70553	0	0	5025	0.5182089552238806	94
broader_chemistry	ordinal	0.4990087121649933	0.4990087121649933	70553	0	0	5923	0.505993584332264	94
broader_chemistry	uniform_pfba	0.5	0.5	70553	0	0	0		94
